,category,count_legit,count_all,normalized
0,Restaurants,2250,4201684,0.0005354995758843359
1,Food,625,1133172,0.0005515491028722912
2,Nightlife,574,1009498,0.0005685994424951807
3,Bars,554,974747,0.0005683526084204414
4,American (New),360,729264,0.0004936483907062463
5,American (Traditional),323,733103,0.0004405929316889987
6,Breakfast & Brunch,309,646334,0.0004780809921805135
7,Sandwiches,238,475626,0.0005003931660590464
8,Pizza,217,394428,0.0005501637814759601
9,Italian,209,392125,0.0005329933057060886
10,Mexican,207,401693,0.0005153189127019888
11,Burgers,180,395129,0.0004555474288143872
12,Event Planning & Services,170,298962,0.0005686341407938133
13,Japanese,166,309510,0.0005363316209492424
14,Seafood,157,343191,0.0004574712040816921
15,Coffee & Tea,138,226444,0.0006094221970995036
16,Sushi Bars,137,254215,0.0005389139114529041
17,Chinese,136,261527,0.0005200227892339988
18,Asian Fusion,130,240279,0.0005410377103284099
19,Steakhouses,116,243536,0.0004763156165823533
20,Cafes,114,217132,0.0005250262513125656
21,Salad,108,249166,0.00043344597577518604
22,Barbeque,108,173000,0.0006242774566473988
23,Arts & Entertainment,106,170789,0.0006206488708289176
24,Fast Food,103,230464,0.00044692446542627046
25,Desserts,98,195964,0.0005000918536057643
26,Cocktail Bars,90,165991,0.0005421980709797519
27,Sports Bars,89,157055,0.0005666804622584445
28,Beer,89,148796,0.000598134358450496
29,Wine & Spirits,89,148796,0.000598134358450496
30,Pubs,89,143151,0.0006217211196568658
31,Specialty Food,87,146545,0.0005936742979972022
32,Lounges,83,110538,0.000750873002949212
33,Vegetarian,82,147302,0.0005566794748204369
34,Caterers,80,139681,0.0005727335858133891
35,Bakeries,78,128034,0.0006092131777496602
36,Vegan,76,112716,0.0006742609744845452
37,Chicken Wings,74,125901,0.0005877634014026895
38,Mediterranean,74,139385,0.0005309036122968755
39,Wine Bars,70,144960,0.0004828918322295806
40,Thai,68,134965,0.0005038343274182196
41,Buffets,67,132053,0.0005073720400142367
42,Diners,64,122626,0.0005219121556603004
43,Delis,60,95433,0.0006287133381534689
44,Korean,59,93732,0.0006294541885375326
45,Gastropubs,58,95781,0.000605548073208674
46,Hotels & Travel,56,99698,0.0005616963228951433
47,Gluten-Free,55,100096,0.0005494725063938619
48,Hotels,55,89929,0.0006115935904991716
49,Canadian (New),54,91528,0.0005899833930600472
50,Vietnamese,53,90091,0.0005882940582300119
51,Casinos,51,81804,0.0006234413965087282
52,Juice Bars & Smoothies,50,80007,0.0006249453172847376
53,French,47,103875,0.00045246690734055355
54,Indian,46,79867,0.0005759575293926152
55,Noodles,45,67195,0.0006696926854676687
56,Soup,44,84208,0.0005225156754702641
57,Southern,40,71022,0.0005632057672270564
58,Music Venues,40,46148,0.0008667764583513912
59,Ethnic Food,39,60909,0.0006402994631335271
60,Local Flavor,39,49190,0.0007928440739987802
61,Venues & Event Spaces,38,76867,0.0004943603887233793
62,Tapas/Small Plates,37,74751,0.0004949766558306912
63,Ramen,35,43508,0.0008044497563666453
64,Middle Eastern,35,70710,0.0004949794937066893
65,Greek,34,75500,0.0004503311258278146
66,Comfort Food,31,75864,0.0004086259622482337
67,Hot Dogs,29,41102,0.0007055617731497251
68,Ice Cream & Frozen Yogurt,29,55565,0.0005219112750832358
69,Tapas Bars,27,48276,0.0005592841163310962
70,Breweries,26,54023,0.00048127649334542695
71,Active Life,26,27814,0.0009347810455166463
72,Food Delivery Services,26,42093,0.0006176798992706626
73,Dance Clubs,25,25000,0.001
74,Beer Bar,24,52659,0.0004557625477126417
75,Tacos,24,39680,0.0006048387096774194
76,Hawaiian,23,46450,0.0004951560818083962
77,Latin American,23,54212,0.00042426031137017637
78,Irish,21,21487,0.0009773351328710384
79,Dim Sum,21,31958,0.0006571124601038864
80,Tex-Mex,21,57561,0.00036483035388544326
81,Shopping,20,37654,0.0005311520688373082
82,Creperies,19,22972,0.0008270938533867317
83,Resorts,19,30685,0.0006191950464396285
84,Caribbean,19,29700,0.0006397306397306397
85,Soul Food,18,30977,0.0005810762824030733
86,Cajun/Creole,18,38866,0.00046312972778263776
87,Street Vendors,16,15666,0.001021320056172603
88,Spanish,16,25755,0.0006212385944476801
89,Tea Rooms,16,16137,0.0009915101939641817
90,Halal,15,32826,0.0004569548528605374
91,Cantonese,15,15228,0.0009850275807722615
92,British,15,22912,0.0006546787709497206
93,Beauty & Spas,14,21462,0.0006523157208088715
94,Bubble Tea,13,20250,0.0006419753086419753
95,Dive Bars,13,19649,0.0006616112779276299
96,Grocery,13,33248,0.0003910009624639076
97,Pakistani,13,29198,0.0004452359750667854
98,Food Trucks,13,23488,0.0005534741144414169
99,Taiwanese,12,22432,0.0005349500713266762
100,Bagels,12,30523,0.0003931461520820365
101,Food Stands,12,13849,0.0008664885551303343
102,Poke,12,19673,0.0006099730595232044
103,Whiskey Bars,11,6448,0.001705955334987593
104,Brazilian,11,17525,0.0006276747503566334
105,Day Spas,10,15871,0.0006300800201625606
106,Turkish,10,7888,0.0012677484787018255
107,Modern European,10,15546,0.0006432522835456066
108,Cheesesteaks,10,17165,0.0005825808330905913
109,Imported Food,10,12083,0.0008276090374906894
110,Fish & Chips,10,21238,0.00047085412939071476
111,Karaoke,10,18090,0.000552791597567717
112,Waffles,9,17056,0.0005276735459662289
113,Irish Pub,9,8890,0.0010123734533183351
114,Automotive,9,11512,0.0007817929117442669
115,Hot Pot,9,10289,0.0008747205753717563
116,Szechuan,8,10017,0.0007986423080762703
117,Chicken Shop,8,25820,0.00030983733539891554
118,New Mexican Cuisine,8,20053,0.00039894280157582406
119,Ethiopian,7,4729,0.00148022837809262
120,Donuts,7,19649,0.0003562522265764161
121,Social Clubs,7,6074,0.0011524530786960817
122,Party & Event Planning,7,12207,0.0005734414680101581
123,Coffee Roasteries,6,7163,0.0008376378612313277
124,Meat Shops,6,11194,0.0005360014293371449
125,Filipino,6,14815,0.0004049949375632805
126,Health & Medical,6,3605,0.001664355062413315
127,Shaved Ice,6,5090,0.0011787819253438114
128,Health Markets,6,9651,0.0006216972334473111
129,Belgian,6,6157,0.0009745005684586649
130,Farmers Market,5,6897,0.0007249528780629259
131,Portuguese,5,8303,0.0006021919788028423
132,Smokehouse,5,9338,0.0005354465624330692
133,Persian/Iranian,5,9138,0.0005471656817684395
134,Jazz & Blues,5,8650,0.0005780346820809249
135,Do-It-Yourself Food,5,7661,0.0006526563111865292
136,Adult Entertainment,5,4137,0.001208605269518975
137,Shopping Centers,5,11064,0.0004519161243673174
138,Bowling,5,5520,0.0009057971014492754
139,Swimming Pools,5,1856,0.0026939655172413795
140,Wraps,5,16164,0.0003093293739173472
141,Beer Gardens,5,11993,0.0004169098640873843
142,German,5,14026,0.00035648082133181235
143,International,4,1948,0.002053388090349076
144,Golf,4,5463,0.0007321984257733846
145,African,4,10875,0.000367816091954023
146,Mongolian,4,5876,0.0006807351940095302
147,Zoos,4,1590,0.0025157232704402514
148,Argentine,4,3891,0.0010280133641737343
149,Polish,4,5928,0.0006747638326585695
150,Teppanyaki,4,7369,0.000542814493146967
151,Patisserie/Cake Shop,4,7877,0.000507807540941983
152,Lebanese,4,12981,0.00030814267005623605
153,Butcher,4,7929,0.0005044772354647496
154,Brasseries,4,11537,0.0003467105833405565
155,Colombian,4,3547,0.001127713560755568
156,Basque,4,1901,0.0021041557075223566
157,Gelato,4,6433,0.000621793875330328
158,Live/Raw Food,4,9616,0.00041597337770382697
159,Car Wash,4,4704,0.0008503401360544217
160,Cuban,4,6137,0.0006517842594101353
161,Delicatessen,4,4065,0.0009840098400984009
162,Internet Cafes,3,6929,0.00043296290951075193
163,Fruits & Veggies,3,3643,0.0008234971177600879
164,Ukrainian,3,1563,0.0019193857965451055
165,Convenience Stores,3,3746,0.000800854244527496
166,Country Dance Halls,3,1632,0.001838235294117647
167,Cheese Shops,3,7454,0.0004024684733029246
168,Himalayan/Nepalese,3,4213,0.0007120816520294327
