,category,c_neg,count_all,normalized
0,Alternative Medicine,1,7,14.285714285714285
1,Music & DVDs,1,13,7.6923076923076925
2,Meditation Centers,1,20,5.0
3,Eastern European,3,89,3.3707865168539324
4,Honduran,5,202,2.4752475247524752
5,Town Car Service,4,171,2.3391812865497075
6,Real Estate Services,4,178,2.247191011235955
7,Septic Services,4,178,2.247191011235955
8,Slovakian,1,49,2.0408163265306123
9,Limos,4,226,1.7699115044247788
10,Shanghainese,14,795,1.7610062893081762
11,Airport Lounges,1,62,1.6129032258064515
12,Transportation,4,253,1.5810276679841897
13,Check Cashing/Pay-day Loans,1,100,1.0
14,Currency Exchange,1,100,1.0
15,Salvadoran,24,2529,0.9489916963226572
16,Burmese,5,544,0.9191176470588236
17,German,125,14026,0.8912020533295308
18,Austrian,5,563,0.8880994671403196
19,Drive-Thru Bars,1,116,0.8620689655172413
20,Mortgage Brokers,1,117,0.8547008547008548
21,Malaysian,65,7622,0.8527945421149306
22,Sugar Shacks,1,124,0.8064516129032258
23,Beer Garden,15,1889,0.7940709370037057
24,Interior Design,1,126,0.7936507936507936
25,Colombian,27,3547,0.7612066535100085
26,Hungarian,13,1737,0.7484168105929765
27,Szechuan,74,10017,0.73874413497055
28,Sri Lankan,5,697,0.7173601147776184
29,Cooking Classes,6,862,0.6960556844547563
30,Australian,4,653,0.6125574272588056
31,Building Supplies,3,497,0.6036217303822937
32,Uzbek,1,174,0.5747126436781609
33,Imported Food,69,12083,0.5710502358685756
34,Dim Sum,181,31958,0.5663683584704925
35,Videos & Video Game Rental,2,366,0.546448087431694
36,Venezuelan,18,3435,0.5240174672489083
37,Taiwanese,116,22432,0.5171184022824536
38,Cambodian,10,1956,0.5112474437627812
39,Financial Services,1,203,0.49261083743842365
40,Cantonese,72,15228,0.4728132387706856
41,Cuban,29,6137,0.47254358807234803
42,Chinese,1218,261527,0.46572629212280187
43,Ethiopian,22,4729,0.4652146331148234
44,Pakistani,135,29198,0.46236043564627716
45,Pretzels,11,2400,0.4583333333333333
46,Nicaraguan,1,223,0.4484304932735426
47,Noodles,299,67195,0.4449735843440732
48,Pan Asian,28,6323,0.44282777162739206
49,Ethnic Food,269,60909,0.4416424502126122
50,Vietnamese,395,90091,0.4384455716997258
51,Ethical Grocery,3,693,0.4329004329004329
52,Mass Media,2,468,0.4273504273504274
53,Singaporean,19,4496,0.42259786476868333
54,Basque,8,1901,0.4208311415044713
55,Vitamins & Supplements,1,239,0.41841004184100417
56,Tacos,166,39680,0.41834677419354843
57,Haitian,1,240,0.4166666666666667
58,Arts & Crafts,7,1760,0.3977272727272727
59,Mexican,1564,401693,0.389352067374836
60,Ukrainian,6,1563,0.3838771593090211
61,Indian,301,79867,0.3768765572764721
62,Antiques,3,801,0.37453183520599254
63,Grocery,122,33248,0.366939364773821
64,Hotel bar,1,282,0.3546099290780142
65,Hakka,4,1146,0.34904013961605584
66,Real Estate,6,1739,0.3450258769407705
67,Korean,322,93732,0.34353262493065334
68,Thai,453,134965,0.3356425740006668
69,Weight Loss Centers,1,299,0.33444816053511706
70,International Grocery,7,2140,0.3271028037383178
71,Filipino,47,14815,0.31724603442456967
72,Latin American,170,54212,0.31358370840404337
73,Bangladeshi,2,643,0.3110419906687403
74,Indonesian,5,1621,0.30845157310302285
75,Laotian,14,4633,0.30218001295057195
76,Home Services,10,3437,0.29095141111434386
77,Afghan,16,5518,0.2899601304820587
78,Animal Shelters,2,696,0.28735632183908044
79,Ramen,125,43508,0.287303484416659
80,Himalayan/Nepalese,12,4213,0.28483266081177305
81,Coffee & Tea Supplies,1,362,0.2762430939226519
82,Egyptian,3,1089,0.27548209366391185
83,Czech,1,364,0.27472527472527475
84,Halal,87,32826,0.2650338146591117
85,Moroccan,9,3421,0.2630809704764689
86,Arabian,9,3430,0.2623906705539359
87,Udon,1,383,0.26109660574412535
88,Falafel,15,5766,0.2601456815816858
89,Herbs & Spices,4,1543,0.2592352559948153
90,Recreation Centers,2,781,0.2560819462227913
91,Mags,3,1181,0.2540220152413209
92,Books,3,1181,0.2540220152413209
93,Music & Video,3,1181,0.2540220152413209
94,Coffeeshops,1,399,0.2506265664160401
95,Middle Eastern,177,70710,0.25031820110309716
96,Specialty Food,359,146545,0.24497594595516736
97,Portuguese,20,8303,0.24087679152113695
98,Car Dealers,10,4162,0.2402691013935608
99,Lebanese,31,12981,0.2388105692935829
100,Polish,14,5928,0.23616734143049933
101,Festivals,2,861,0.23228803716608595
102,Conveyor Belt Sushi,4,1732,0.23094688221709006
103,Persian/Iranian,21,9138,0.2298095863427446
104,Japanese,668,309510,0.21582501373138188
105,Soup,180,84208,0.21375641269238077
106,Syrian,1,468,0.2136752136752137
107,Hong Kong Style Cafe,1,476,0.21008403361344538
