,state,city,isThereAuth,count
0,,,,4201684
1,,,False,4098224
2,NV,,,1391673
3,NV,,False,1363420
4,,Las Vegas,,1242711
5,NV,Las Vegas,,1242697
6,,Las Vegas,False,1217493
7,NV,Las Vegas,False,1217480
8,AZ,,,1191691
9,AZ,,False,1164423
10,ON,,,574245
11,ON,,False,554384
12,,Phoenix,,427491
13,AZ,Phoenix,,427491
14,,Phoenix,False,417409
15,AZ,Phoenix,False,417409
16,,Toronto,,376585
17,ON,Toronto,,376576
18,,Toronto,False,363896
19,ON,Toronto,False,363887
20,NC,,,272619
21,NC,,False,265997
22,,Scottsdale,,229660
23,AZ,Scottsdale,,229660
24,OH,,,227182
25,,Scottsdale,False,225387
26,AZ,Scottsdale,False,225387
27,OH,,False,221621
28,,Charlotte,,208501
29,NC,Charlotte,,208501
30,PA,,,204438
31,,Charlotte,False,203572
32,NC,Charlotte,False,203572
33,PA,,False,198775
34,,Pittsburgh,,162104
35,PA,Pittsburgh,,162104
36,,Pittsburgh,False,157245
37,PA,Pittsburgh,False,157245
38,QC,,,137992
39,QC,,False,134145
40,AZ,Tempe,,118080
41,,Tempe,,118080
42,,Montréal,,117113
43,QC,Montréal,,117113
44,,Tempe,False,115144
45,AZ,Tempe,False,115144
46,QC,Montréal,False,113788
47,,Montréal,False,113788
48,,Henderson,,112874
49,NV,Henderson,,112874
50,,Henderson,False,110561
51,NV,Henderson,False,110561
52,,,True,103460
53,WI,,,93488
54,WI,,False,90608
55,,Mesa,,89690
56,AZ,Mesa,,89690
57,,Chandler,,87851
58,AZ,Chandler,,87851
59,,Mesa,False,86845
60,AZ,Mesa,False,86845
61,,Chandler,False,85453
62,AZ,Chandler,False,85453
63,,Cleveland,,82699
64,OH,Cleveland,,82699
65,OH,Cleveland,False,80339
66,,Cleveland,False,80339
67,,Madison,,74040
68,WI,Madison,,74040
69,WI,Madison,False,71579
70,,Madison,False,71579
71,,Gilbert,,70136
72,AZ,Gilbert,,70136
73,AZ,Gilbert,False,68930
74,,Gilbert,False,68930
75,AB,,,64029
76,,Calgary,,62780
77,AB,Calgary,,62777
78,AB,,False,61993
79,,Calgary,False,60780
80,AB,Calgary,False,60777
81,AZ,Glendale,,56257
82,,Glendale,,56257
83,AZ,Glendale,False,54933
84,,Glendale,False,54933
85,ON,Mississauga,,41553
86,,Mississauga,,41553
87,,Mississauga,False,40039
88,ON,Mississauga,False,40039
89,ON,Markham,,39862
90,,Markham,,39862
91,ON,Markham,False,38504
92,,Markham,False,38504
93,AZ,Peoria,,30319
94,,Peoria,,30319
95,AZ,Peoria,False,29770
96,,Peoria,False,29770
97,IL,,,28741
98,NV,,True,28253
99,IL,,False,27689
100,AZ,,True,27268
101,NV,North Las Vegas,,25336
102,,North Las Vegas,,25336
103,,Las Vegas,True,25218
104,NV,Las Vegas,True,25217
105,,North Las Vegas,False,24742
106,NV,North Las Vegas,False,24742
107,IL,Champaign,,21258
108,,Champaign,,21258
109,IL,Champaign,False,20401
110,,Champaign,False,20401
111,ON,,True,19861
112,,Richmond Hill,,19856
113,ON,Richmond Hill,,19853
114,,Surprise,,19735
115,AZ,Surprise,,19735
116,AZ,Surprise,False,19412
117,,Surprise,False,19412
118,,Richmond Hill,False,19033
119,ON,Richmond Hill,False,19030
120,,Goodyear,,16016
121,AZ,Goodyear,,16016
122,,Goodyear,False,15803
123,AZ,Goodyear,False,15803
124,ON,Scarborough,,14864
125,,Scarborough,,14864
126,,North York,,14462
127,ON,North York,,14457
128,SC,,,14401
129,,Scarborough,False,14317
130,ON,Scarborough,False,14317
131,SC,,False,13995
132,,North York,False,13865
133,ON,North York,False,13860
134,,Lakewood,,13633
135,OH,Lakewood,,13633
136,,Lakewood,False,13305
137,OH,Lakewood,False,13305
138,ON,Vaughan,,12836
139,,Vaughan,,12836
140,,Toronto,True,12689
141,ON,Toronto,True,12689
142,,Avondale,,12662
143,AZ,Avondale,,12662
144,,Concord,,12604
145,,Vaughan,False,12342
146,ON,Vaughan,False,12342
147,,Avondale,False,12238
148,AZ,Avondale,False,12238
149,,Concord,False,12224
150,NC,Concord,,11184
151,NC,Concord,False,10898
152,,Phoenix,True,10082
153,AZ,Phoenix,True,10082
154,,Matthews,,9960
155,NC,Matthews,,9960
156,NC,Huntersville,,9764
157,,Huntersville,,9764
158,ON,Brampton,,9557
159,,Brampton,,9557
160,,Matthews,False,9551
161,NC,Matthews,False,9551
162,,Huntersville,False,9499
163,NC,Huntersville,False,9499
164,ON,Brampton,False,9209
165,,Brampton,False,9209
166,,Etobicoke,,8988
167,ON,Etobicoke,,8988
168,,Cave Creek,,8839
169,AZ,Cave Creek,,8839
170,,Etobicoke,False,8712
171,ON,Etobicoke,False,8712
172,,Cave Creek,False,8681
173,AZ,Cave Creek,False,8681
174,SC,Fort Mill,,7345
175,,Fort Mill,,7345
176,,Fort Mill,False,7123
177,SC,Fort Mill,False,7123
178,,Akron,,6946
179,OH,Akron,,6946
180,,Akron,False,6712
181,OH,Akron,False,6712
182,ON,Thornhill,,6699
183,,Thornhill,,6699
184,NC,,True,6622
185,,Thornhill,False,6455
186,ON,Thornhill,False,6455
187,OH,Westlake,,6126
188,,Westlake,,6126
189,,Cleveland Heights,,6088
190,OH,Cleveland Heights,,6088
191,WI,Middleton,,6043
192,,Middleton,,6043
193,,Westlake,False,5999
194,OH,Westlake,False,5999
195,,Urbana,,5945
196,IL,Urbana,,5945
197,OH,Cleveland Heights,False,5908
198,,Cleveland Heights,False,5908
199,,Boulder City,,5882
200,NV,Boulder City,,5882
201,WI,Middleton,False,5858
202,,Middleton,False,5858
203,NV,Boulder City,False,5830
204,,Boulder City,False,5830
205,,Urbana,False,5783
206,IL,Urbana,False,5783
207,PA,,True,5663
208,,Cornelius,,5619
209,NC,Cornelius,,5619
210,OH,,True,5561
211,,Cornelius,False,5515
212,NC,Cornelius,False,5515
213,,Gastonia,,5201
214,NC,Gastonia,,5201
215,NC,Gastonia,False,5131
216,,Gastonia,False,5131
217,OH,Strongsville,,5065
218,,Strongsville,,5065
219,OH,Strongsville,False,4985
220,,Strongsville,False,4985
221,NC,Charlotte,True,4929
222,,Charlotte,True,4929
223,OH,Mentor,,4879
224,,Mentor,,4879
225,PA,Pittsburgh,True,4859
226,,Pittsburgh,True,4859
227,,Mentor,False,4827
228,OH,Mentor,False,4827
229,OH,Cuyahoga Falls,,4702
230,,Cuyahoga Falls,,4702
231,,Cuyahoga Falls,False,4624
232,OH,Cuyahoga Falls,False,4624
233,OH,Parma,,4454
234,,Parma,,4454
235,AZ,Fountain Hills,,4433
236,,Fountain Hills,,4433
237,OH,Rocky River,,4322
238,,Rocky River,,4322
239,,Fountain Hills,False,4297
240,AZ,Fountain Hills,False,4297
241,,Parma,False,4288
242,OH,Parma,False,4288
243,,Scottsdale,True,4273
244,AZ,Scottsdale,True,4273
245,,Rocky River,False,4264
246,OH,Rocky River,False,4264
247,PA,Monroeville,,4173
